,emphasized,actual
0,lllllllllike,like
1,likkkkke,like
2,llllllllllllike,like
4,likeeeeeeeeeeee,like
5,likkkkkke,like
6,likeeeeeeee,like
7,liiiiiiiiiiiiiiike,like
8,likeeee,like
9,likke,like
10,liiiiiiike,like
12,lllllllllllllike,like
13,liiiike,like
14,llllllllllike,like
16,likkkkkkkke,like
17,likkke,like
18,likeeeeeeeeeeeee,like
20,llllllike,like
21,lllllllllllike,like
23,likkkkkkkkkke,like
24,liiiiiiiiiiiiike,like
25,llike,like
26,liike,like
28,likkkkkkkkkkkkkke,like
30,likeeeeeeeeee,like
31,likeeeeeeeee,like
32,liiike,like
33,likeeeeeee,like
36,likkkke,like
37,liiiiiiiike,like
38,llllllllllllllike,like
40,likkkkkkkkkkkkkkke,like
41,likkkkkkkkkkke,like
42,lllllllllllllllike,like
47,liiiiiiiiiiike,like
48,likeeeeeeeeeee,like
49,liiiiiiiiike,like
50,likeeeeee,like
55,llllllllike,like
56,llllike,like
59,likkkkkkkkkkkke,like
60,likeee,like
63,liiiiiiiiiike,like
66,likeeeeeeeeeeeeeee,like
74,likkkkkkke,like
77,liiiiiike,like
81,lllllllike,like
85,liiiiiiiiiiiiiike,like
90,liiiiike,like
92,likee,like
114,likeeeee,like
116,lllllike,like
119,likkkkkkkkkkkkke,like
124,likeeeeeeeeeeeeee,like
140,liiiiiiiiiiiike,like
147,likkkkkkkkke,like
185,lllike,like
1000000,beauttttiful,beautiful
1000001,beeeeeeeeeeeeautiful,beautiful
1000002,beautiiiiful,beautiful
1000003,beautifful,beautiful
1000004,beauuuuuuuuuuuuutiful,beautiful
1000005,beautifuuuuuuuuuuuul,beautiful
1000006,beautifulllllllll,beautiful
1000007,beauuuuutiful,beautiful
1000009,beautiiful,beautiful
1000010,beauuuutiful,beautiful
1000011,beautifuuuuuuuuul,beautiful
1000012,bbbbbbbbbbbbeautiful,beautiful
1000013,beautttttttttiful,beautiful
1000014,beautttttttttttiful,beautiful
1000015,beautiffffful,beautiful
1000016,beautifullllll,beautiful
1000018,bbbbbbbbbbbbbeautiful,beautiful
1000019,bbbbbeautiful,beautiful
1000020,beauttttttiful,beautiful
1000021,beautiiiiiiiiful,beautiful
1000022,beaautiful,beautiful
1000023,beautiffful,beautiful
1000024,beautttttttiful,beautiful
1000025,beautifuuuuuuuuuuul,beautiful
1000029,beauttttttttttttiful,beautiful
1000030,beauutiful,beautiful
1000031,beautiiiiiiiiiiiiiiiful,beautiful
1000032,beautifffful,beautiful
1000033,beautiiiiiiiiiiful,beautiful
1000038,beautiffffffffffful,beautiful
1000039,beautiiiiiiiiiiiiiiful,beautiful
1000040,bbbbbbbbbbbeautiful,beautiful
1000041,beautifulllllll,beautiful
1000042,beaaaaaaaaaaaaaautiful,beautiful
1000045,beauuuuuuuuuuuuuutiful,beautiful
1000046,beautiiiiiiiiiiiiful,beautiful
1000047,bbbbbbbbeautiful,beautiful
1000049,beauttttttttttttttiful,beautiful
1000050,beautifuuuuuuuuuuuuuul,beautiful
1000051,beaaaaaaaautiful,beautiful
1000052,beaaaaaaaaaaaautiful,beautiful
1000053,beeeeeeeeeeeeeautiful,beautiful
1000054,beautiffffffful,beautiful
1000056,beautiiiiiiiful,beautiful
1000058,beautiiiiiiiiiiiful,beautiful
1000059,beautifuuuuuul,beautiful
1000061,beautiiiful,beautiful
1000062,bbbbeautiful,beautiful
1000063,bbeautiful,beautiful
1000064,beeautiful,beautiful
1000066,beeeeeeeeeeeautiful,beautiful
1000071,beautifuuuuul,beautiful
1000077,beauuuuuutiful,beautiful
1000078,beaaaaaaautiful,beautiful
1000079,bbbbbbbbbeautiful,beautiful
1000080,beautifulllllllllll,beautiful
1000083,beautifuuuul,beautiful
1000085,beautifulllllllllllll,beautiful
1000087,beauuuuuuuuuuuuuuutiful,beautiful
1000088,beaaaaaaaaaaautiful,beautiful
1000094,beaaaaaautiful,beautiful
1000095,beaaautiful,beautiful
1000102,beautttiful,beautiful
1000103,beautifuuul,beautiful
1000104,beautiffffffffful,beautiful
1000109,beauuuuuuuutiful,beautiful
1000110,beeeeeeeeautiful,beautiful
1000111,beautifulllll,beautiful
1000114,beautifffffffful,beautiful
1000116,beaaaaaaaaaaaaautiful,beautiful
1000119,bbbbbbbbbbbbbbeautiful,beautiful
1000120,beautifffffffffffful,beautiful
1000121,beautifullllllllllllll,beautiful
1000122,beautiiiiiful,beautiful
1000123,beautiiiiiiiiiiiiiful,beautiful
1000125,beaaaautiful,beautiful
1000126,beaaaaautiful,beautiful
1000135,beeeeeeeeeautiful,beautiful
1000137,beautifffffffffful,beautiful
1000140,beeeeeeeautiful,beautiful
1000141,beautifullllllllllll,beautiful
1000142,beaaaaaaaaaautiful,beautiful
1000146,beautttttttttttttiful,beautiful
1000147,beautiffffffffffffffful,beautiful
1000149,bbbbbbbeautiful,beautiful
1000151,beautifuuuuuuuuuul,beautiful
1000153,beauuuuuuuuutiful,beautiful
1000154,beautifull,beautiful
1000156,beautifulllllllllllllll,beautiful
1000158,beeeeeeeeeeeeeeautiful,beautiful
1000163,beautttttttttttttttiful,beautiful
1000170,beeeautiful,beautiful
1000171,beautifullllllll,beautiful
1000174,beautifulll,beautiful
1000175,beautifuuuuuuuuuuuuuuul,beautiful
1000180,beauttttttttiful,beautiful
1000187,beauuuuuuuuuuutiful,beautiful
1000192,beautifffffful,beautiful
1000193,beautifullll,beautiful
1000203,beeeeeautiful,beautiful
1000208,beautttttiful,beautiful
1000213,beeeeeeeeeeeeeeeautiful,beautiful
1000215,beauttttttttttiful,beautiful
1000229,beauuutiful,beautiful
1000230,beauuuuuuuuuutiful,beautiful
1000246,bbbbbbbbbbeautiful,beautiful
1000251,beautiiiiiiful,beautiful
1000254,beautiiiiiiiiiful,beautiful
1000269,beautifuuuuuuuuuuuuul,beautiful
1000285,beaaaaaaaaaaaaaaautiful,beautiful
1000297,bbbeautiful,beautiful
1000312,beauuuuuuuuuuuutiful,beautiful
1000319,beeeeeeeeeeautiful,beautiful
1000327,beeeeautiful,beautiful
1000337,beautifffffffffffffful,beautiful
1000360,beautifuuuuuuul,beautiful
1000366,bbbbbbeautiful,beautiful
1000405,beautiffffffffffffful,beautiful
1000407,beautifuul,beautiful
1000452,beautifullllllllll,beautiful
1000495,beeeeeeautiful,beautiful
1000496,beauttiful,beautiful
1000497,beautifuuuuuuuul,beautiful
1000624,beauuuuuuutiful,beautiful
1000702,bbbbbbbbbbbbbbbeautiful,beautiful
1000781,beaaaaaaaaautiful,beautiful
2000000,loove,love
2000001,loooooooooove,love
2000002,lllllllllove,love
2000003,loooooooooooooove,love
2000004,loooooove,love
2000005,lllllllllllllllove,love
2000006,looooove,love
2000009,loveeeeeeeeeeeeee,love
2000011,lllove,love
2000012,loooove,love
2000013,loveeeeee,love
2000014,lovvvvvvvvvvvve,love
2000016,looove,love
2000017,lovvvvvvvvvvvvvvve,love
2000018,llllove,love
2000019,lovvvvve,love
2000020,loveeeeeeeeeee,love
2000021,lovvve,love
