,Unnamed: 0,emphasized,actual
0,46000008,alll,all
1,46000072,aaaaaaaall,all
2,46000001,alllll,all
3,46000009,alllllllllllll,all
4,46000002,allllllll,all
5,46000011,allllllllll,all
6,46000166,aaaaaaaaaall,all
7,46000004,aaaaaall,all
8,46000022,allllllllllll,all
9,46000050,aaall,all
10,46000005,aaaaaaaaaaaaall,all
11,46000019,aaaaaaaaall,all
12,46000032,aaaall,all
13,46000040,allll,all
14,46000007,allllllllllllll,all
15,46000010,alllllll,all
16,46000036,aaaaaaaaaaall,all
17,46000013,alllllllll,all
18,46000012,allllllllllllllll,all
19,46000065,alllllllllll,all
20,46000085,aaaaaaall,all
21,46000044,aaaaaaaaaaaaaall,all
22,46000006,aaaaaaaaaaaaaaall,all
23,46000205,aall,all
24,46000041,aaaaall,all
25,46000017,aaaaaaaaaaaall,all
26,46000000,allllll,all
27,46000024,alllllllllllllll,all
28,17000044,aaaamazing,amazing
29,17000099,amazingggggggggggg,amazing
30,17000278,amaziiiiiiiiiiiiiiing,amazing
31,17000024,amaaaaaaaaaaaazing,amazing
32,17000014,amaziiiiiiiiiing,amazing
33,17000262,amaaazing,amazing
34,17000168,amaziing,amazing
35,17000126,amaziiiiing,amazing
36,17000005,amaziiiiiiiiiiiiiing,amazing
37,17000072,ammmmmmmmmmmmmmazing,amazing
38,17000018,aaaaaaaaamazing,amazing
39,17000042,ammmmmmmmmmazing,amazing
40,17000032,amaaaaaaaaaaaaazing,amazing
41,17000043,amazinggggggggg,amazing
42,17000036,ammmmmmmmmmmmazing,amazing
43,17000165,amazzzzzzzing,amazing
44,17000035,ammmmmazing,amazing
45,17000155,amazzzzzzzzzzzzing,amazing
46,17000064,amazinnnnnnnnnnnnnnng,amazing
47,17000034,aaaaaaaaaaaamazing,amazing
48,17000067,amazinggggggggggg,amazing
49,17000009,amaaaaaaaaaazing,amazing
50,17000057,amazzzing,amazing
51,17000069,amazinggg,amazing
52,17000217,ammmmmmmazing,amazing
53,17000132,aamazing,amazing
54,17000054,aaaaaaaaaamazing,amazing
55,17000085,amaziiiiiiiiiiiing,amazing
56,23000132,awwesome,awesome
57,23000069,awesomee,awesome
58,23000031,awesomeee,awesome
59,23000003,awesomme,awesome
60,23000086,awesoooooooooooome,awesome
61,23000283,awesomeeeeeeeeeee,awesome
62,23000293,aawesome,awesome
63,23000291,awesssssssssssome,awesome
64,23000157,aaaaaaaaaaaaaaawesome,awesome
65,23000038,awesoome,awesome
66,23000186,awesooooooooooooooome,awesome
67,23000151,awwwwwwwwwesome,awesome
68,23000041,awesomeeeeeeeee,awesome
69,23000056,awessssome,awesome
70,23000119,awesomeeeeee,awesome
71,23000179,awesommmmme,awesome
72,23000183,aweeesome,awesome
73,23000103,awesommmmmmmmme,awesome
74,23000300,awesommme,awesome
75,23000001,aaawesome,awesome
76,23000048,aaaawesome,awesome
77,23000051,aaaaaaaaaaaawesome,awesome
78,23000008,awesommmmmmmmmmmme,awesome
79,23000013,awesooooooooome,awesome
80,23000424,awwwwwesome,awesome
81,23000055,awesomeeeeeeeeeeee,awesome
82,23000053,awesssome,awesome
83,23000026,awessssssome,awesome
84,6000026,baaaaad,bad
85,6000072,bbbbbbbbbbbad,bad
86,6000025,badddddddddddd,bad
87,6000005,badddddd,bad
88,6000031,baaaaaaaaaaaaaaad,bad
89,6000033,badd,bad
90,6000022,bbbbbbbbbbbbbbbad,bad
91,6000048,bbbbbbbbbbbbad,bad
92,6000102,bbbbbbbad,bad
93,6000043,baaaaaaaaaaaad,bad
94,6000062,bbbbbad,bad
95,6000045,bbbbbbbbbbad,bad
96,6000018,badddd,bad
97,6000015,bbbbbbad,bad
98,6000060,baddddddddddddd,bad
99,6000011,bbbbbbbbbbbbbbad,bad
100,6000003,bbbad,bad
101,6000055,baddd,bad
102,6000001,baad,bad
103,6000016,badddddddddd,bad
104,6000076,baaaaaaaaaaad,bad
105,6000017,baddddddddddddddd,bad
106,6000024,bbbbbbbbbbbbbad,bad
107,6000068,baddddd,bad
108,6000000,badddddddddddddd,bad
109,6000004,baddddddddd,bad
110,6000012,baaaaaaaaaaaaaad,bad
111,6000049,baaaaaaaaad,bad
112,1000051,beaaaaaaaautiful,beautiful
113,1000020,beauttttttiful,beautiful
114,1000171,beautifullllllll,beautiful
115,1000297,bbbeautiful,beautiful
116,1000192,beautifffffful,beautiful
117,1000022,beaautiful,beautiful
118,1000053,beeeeeeeeeeeeeautiful,beautiful
119,1000095,beaaautiful,beautiful
120,1000285,beaaaaaaaaaaaaaaautiful,beautiful
121,1000103,beautifuuul,beautiful
122,1000071,beautifuuuuul,beautiful
123,1000052,beaaaaaaaaaaaautiful,beautiful
124,1000407,beautifuul,beautiful
125,1000038,beautiffffffffffful,beautiful
126,1000025,beautifuuuuuuuuuuul,beautiful
127,1000251,beautiiiiiiful,beautiful
128,1000010,beauuuutiful,beautiful
129,1000006,beautifulllllllll,beautiful
130,1000163,beautttttttttttttttiful,beautiful
131,1000002,beautiiiiful,beautiful
132,1000702,bbbbbbbbbbbbbbbeautiful,beautiful
133,1000016,beautifullllll,beautiful
134,1000087,beauuuuuuuuuuuuuuutiful,beautiful
135,1000229,beauuutiful,beautiful
136,1000254,beautiiiiiiiiiful,beautiful
137,1000033,beautiiiiiiiiiiful,beautiful
138,1000004,beauuuuuuuuuuuuutiful,beautiful
139,1000140,beeeeeeeautiful,beautiful
140,50000046,beeeeeeeeeeetter,better
141,50000009,bettttttter,better
142,50000086,beeeeeeeeetter,better
143,50000025,betteeeeeeeeeer,better
144,50000067,betterrrrrrrrr,better
145,50000059,betterrrrr,better
146,50000281,bbbbbbbbbbetter,better
147,50000016,beeeeetter,better
148,50000247,betterrrrrrrrrrrrrrr,better
149,50000125,bbbbbetter,better
150,50000023,beeeeeetter,better
151,50000000,beeeeeeeetter,better
152,50000085,bbbbbbbbbbbetter,better
153,50000004,betttttttttter,better
154,50000020,bettttttttttter,better
155,50000210,beetter,better
156,50000113,beeeeeeeeeeeeeetter,better
157,50000115,betteeeeeeeeer,better
158,50000121,betteeeeeeeeeeeeer,better
159,50000050,betterrrrrr,better
160,50000038,beeeeeeeeeetter,better
161,50000032,beeeetter,better
162,50000087,betteeeeeeer,better
163,50000093,beeeeeeetter,better
164,50000047,beeetter,better
165,50000002,bbbbbbbbbbbbbbbetter,better
166,50000120,betterrrrrrrrrr,better
167,50000010,bettttter,better
168,11000078,borinnnnng,boring
169,11000151,boriing,boring
170,11000095,booring,boring
171,11000126,borinnnnnnnnnnnnnnng,boring
172,11000163,borrrrrrrrrrrrrrring,boring
173,11000030,boriiiiiiiiiiiiiiing,boring
174,11000226,borrring,boring
175,11000171,boriiiiiiiing,boring
176,11000006,borinnnnnnnnnnnng,boring
177,11000092,bbbbbbbbbbboring,boring
178,11000075,boringgggggggggggg,boring
179,11000109,bbbbbbbbbbbboring,boring
180,11000072,bbbbbboring,boring
181,11000007,boriiiing,boring
182,11000177,borrrrrrrrrrrrrring,boring
183,11000029,boooooooooooooring,boring
184,11000011,bbbbbbbbbbbbbbboring,boring
185,11000188,booooooooooring,boring
186,11000076,boriiiiiing,boring
187,11000041,bbbbbbbbbbbbboring,boring
188,11000023,boringgggggggggggggg,boring
189,11000015,boooooooring,boring
190,11000048,borinnnnnnnng,boring
191,11000101,boringggggggggggggg,boring
192,11000024,borinng,boring
193,11000044,borrrrrring,boring
194,11000144,borrrrrrrrrrrring,boring
195,11000039,boooooooooooring,boring
196,49000021,buttttttt,but
197,49000045,bbbut,but
198,49000082,bbbbbbbbbbbbut,but
199,49000036,buuuuuuuuuuuuuut,but
200,49000140,buuuuut,but
201,49000022,buttttttttttttt,but
202,49000089,bbbbbbbbbbbbbbbut,but
203,49000031,bbbbbbut,but
204,49000058,buuuuuuuuut,but
205,49000032,buuuuuut,but
206,49000051,bbbbbbbbbbut,but
207,49000015,butttttttttttt,but
208,49000001,bbbbbbbbut,but
209,49000026,buttt,but
210,49000034,buuuuuuuut,but
211,49000011,buttttttttt,but
212,49000023,bbbbbbbbbbbbbbut,but
213,49000012,buuut,but
214,49000040,bbbbbbbbbbbut,but
215,49000068,bbbbbbbbbut,but
216,49000092,butttttt,but
217,49000029,bbbbut,but
218,49000019,bbut,but
219,49000006,buttttttttttt,but
220,49000009,bbbbbbbut,but
221,49000000,buuuuuuuuuut,but
222,49000043,bbbbbbbbbbbbbut,but
223,49000004,buut,but
224,3000062,ccccool,cool
225,3000024,coolllllllllll,cool
226,3000027,cooool,cool
227,3000022,cccccccool,cool
228,3000095,coollllllllllllll,cool
229,3000007,cccccccccccccccool,cool
230,3000017,cooooooooool,cool
231,3000004,coool,cool
232,3000015,ccool,cool
233,3000040,cccccool,cool
234,3000081,coollllllllllll,cool
235,3000001,cooooooooooool,cool
236,3000018,coooooool,cool
237,3000038,coooooooooool,cool
238,3000088,coollll,cool
239,3000008,cooooooooooooooool,cool
240,3000090,coolllll,cool
241,3000098,coollllllllll,cool
242,3000010,coooool,cool
243,3000070,coooooooool,cool
244,3000055,ccccccccccool,cool
245,3000111,cccool,cool
246,3000076,coooooooooooooool,cool
247,3000107,coolllllllllllll,cool
248,3000032,coolllllll,cool
249,3000049,coollllll,cool
250,3000184,cccccccccccccool,cool
251,3000014,coooooooooooool,cool
252,27000008,cuuuuute,cute
253,27000149,cuuuuuuuuuute,cute
254,27000124,ccccccccccute,cute
